联通直播,#genre#
齐鲁,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225807/10000100000000060000000000215674_0.smil
山东卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000012807/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000012807&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000012807&owchid=ystenlive&owsid=8423691598797462543&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYZmRE1p8tiUMapM%2B1jZBTNiPB%2FeCmGwwXonHo8p%2FAffLpc1Nsn%2Ff6AFanMd5tIEuD#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225869/10000100000000060000000000219044_0.smil
湖南卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000009115/index.m3u8?stbId=07c535ff5ffdb9146c375bbb1dd670c0&channel-id=ystenlive&Contentid=1000000001000009115&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000009115&owchid=ystenlive&owsid=7514431598794206647&AuthInfo=AVHYBiui%2Fe4VADsZ%2BJqnOllErE%2FL2hVLcbTrKR3H6BPmpKc81lPaQdDAcUBOgd1bO2WlsA2WvEJRjbvArhL5i24cTddQnImnBqSn0kL8NYUQNxDM4ckiYps2FFJ74%2B6I#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225797/10000100000000060000000000216968_0.smil
CCTV-1,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000021973/index.m3u8?stbId=525df83028c9244a9e874fc466bb34cd&channel-id=ystenlive&Contentid=1000000001000021973&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000021973&owchid=ystenlive&owsid=9114151598788718381&AuthInfo=D3mFc20oKblIQ%2BhnCK09DxvusIlJIWwB6%2B9wOnBYOfHmpKc81lPaQdDAcUBOgd1bT271%2FPzf0Gg7CYucvQYW3MSnJU%2BaGpAd%2FB%2B22bk1oQYzASmSoNWbvATUb5OJt1hh#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225787/10000100000000060000000000215597_0.smil#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-2,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000012442/index.m3u8?stbId=f99a429d4cece57cb3b67a0b54131a61&channel-id=ystenlive&Contentid=1000000001000012442&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000012442&owchid=ystenlive&owsid=2734851598788695119&AuthInfo=kK4icW6v5eSpxbfBxv02ckE%2FiRowOvSn1Ic%2BjtgUfQTmpKc81lPaQdDAcUBOgd1beLo3WP2GeVfy%2BKHzIZkpffH6ulbW5izSWP5LC8zKW0V%2BCguYRnzeq6KX1odHhV5j#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225790/10000100000000060000000000215615_0.smil#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-3,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000011218/index.m3u8?stbId=12eb2e8be5a498aa0141fc90ce5cfb97&channel-id=ystenlive&Contentid=1000000001000011218&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000011218&owchid=ystenlive&owsid=8532821598788977782&AuthInfo=qXfUxByWcOGFswp2wy7%2FXhp4ogKoCuWS5cuTIbK4SwvmpKc81lPaQdDAcUBOgd1bBMd1XLjzJ2fKla5xcUuGsvXWtVdGXR8uE3Bo6keiN2CgKIVuJ1fI3XNH1YOeDSuN#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225790/10000100000000060000000000215615_0.smil#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-4,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000031664/index.m3u8?stbId=a6e3164662e3d0c56427287f432bef15&channel-id=ystenlive&Contentid=1000000002000031664&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000031664&owchid=ystenlive&owsid=9367461598788980918&AuthInfo=2qipD6zJKEo%2F52DIW2fWz7G6mRrrE7irbGI4c6ZY3hhZ8dvE280%2FJtQtAtv4LrPNNedJ3KLK8xRKSj1WlaJU8f%2BmnS5dM1lUWfYt1sMVMNgBioQ%2BUF8mLNc6%2FccBFxxX#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225798/10000100000000060000000000216964_0.smil#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225798/10000100000000060000000000216964_0.smil
CCTV-5,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000004794/index.m3u8?stbId=e74d18a5a98f8304471c5ef9a9e755ab&channel-id=ystenlive&Contentid=1000000001000004794&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000004794&owchid=ystenlive&owsid=7515601598789112327&AuthInfo=pbUTLy5YoJMfKFbqfn3DX9ifMNMZGe7Yxm0PdSBFu7%2FmpKc81lPaQdDAcUBOgd1brmMwPnwwXdLVynOXiq6dJVAl7wuj8QhKDbQ625RQAAV4FZy2tGq8BAjb2qX89hoE#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225791/10000100000000060000000000215620_0.smil#http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV-5+,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000018504/index.m3u8?stbId=76ac1a14b137ce155bb56040a65754f3&channel-id=ystenlive&Contentid=1000000001000018504&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000018504&owchid=ystenlive&owsid=9476131598789246794&AuthInfo=v3upaoPZeTt4IukAtZik%2FJtAPkCYxnwlW7IA5UWtAT7mpKc81lPaQdDAcUBOgd1b1qdmH5ywJcJYNq5BM7T1Yeu9hohmnZUiaHZPSipO0V7doHIgXEZopTgxR6UeEqV9#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000001737/index.m3u8?stbId=998de7cd3728173801e375a36cf5b089&channel-id=ystenlive&Contentid=1000000001000001737&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000001737&owchid=ystenlive&owsid=1411151598789559002&AuthInfo=pULf%2FGpM9IZzejJNFThw4MxoVeuSQh6l05djqt1gUmnmpKc81lPaQdDAcUBOgd1bOEkJ11dsg1GKEJOUucA0eEqDzAvETmZpi7Adwda737gdhQndBtBtfbnn01AuXbjU#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225786/10000100000000060000000000215621_0.smil
